long,lat,CATEGORY
6628867.998,1963717.928,Arson
6632796.386,1964362.036,Arson
6636855.371,1964872.787,Arson
6626492.967,1964342.607,Arson
6639505.854,1966094.139,Arson
6640477.669,1961983.297,Arson
6634003.192,1960052.711,Arson
6635768.651,1963297.959,Arson
6639505.854,1966094.139,Arson
6636226.804,1959852.646,Assaults
6636305.119,1959990.549,Assaults
6636415.125,1959893.643,Assaults
6636322.897,1960091.408,Assaults
6636298.760,1960018.109,Assaults
6633539.498,1967795.250,Assaults
6636347.000,1959898.001,Assaults
6649084.000,1961821.877,Assaults
6635491.730,1959695.796,Assaults
6628867.569,1963984.006,Assaults
6644632.248,1963928.271,Assaults
6636322.897,1960091.408,Assaults
6626710.960,1966629.847,Assaults
6638804.973,1957343.500,Assaults
6633726.062,1964424.517,Assaults
6629593.412,1961692.524,Assaults
6641685.310,1961843.799,Assaults
6626710.960,1966629.847,Assaults
6634657.836,1960028.231,Assaults
6635693.119,1961262.654,Assaults
6649354.048,1962593.912,Assaults
6631004.048,1962737.754,Assaults
6636182.197,1960548.516,Assaults
6635933.826,1960335.003,Assaults
6641734.852,1962832.528,Assaults
6648258.907,1963917.767,Assaults
6635532.194,1959207.679,Assaults
6636322.897,1960091.408,Assaults
6636322.897,1960091.408,Assaults
6649049.920,1963181.546,Assaults
6651723.200,1963148.441,Assaults
6636322.897,1960091.408,Assaults
6641596.441,1960559.791,Assaults
6622789.589,1966038.684,Assaults
6638098.036,1960245.838,Assaults
6636415.125,1959893.643,Assaults
6636226.804,1959852.646,Assaults
6628310.268,1965152.687,Assaults
6636322.897,1960091.408,Assaults
6631910.000,1968425.876,Assaults
6635722.499,1959764.751,Assaults
6636322.897,1960091.408,Assaults
6645632.620,1961552.848,Assaults
6635778.762,1959430.340,Assaults
6649382.776,1962667.180,Assaults
6634846.388,1959382.231,Assaults
6634680.499,1960018.375,Assaults
6634022.501,1959871.375,Assaults
6635609.716,1961843.197,Assaults
6636363.824,1959733.049,Assaults
